Timestamp,Event Type,IP Address,Status,Response Time (ms),Network Type,Details
2024-11-15 14:43:48,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 14:43:48,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:49,LAN,192.168.1.25,ALERT,,Public,Connection lost
2024-11-15 14:43:50,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:51,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:52,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:53,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:54,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:55,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:56,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:43:57,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:44,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 14:45:44,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:45,LAN,192.168.1.25,ALERT,,Public,Connection lost
2024-11-15 14:45:46,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:47,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:48,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:49,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:50,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:51,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:52,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:53,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:54,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:55,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:56,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:45:57,LAN,192.168.1.25,DOWN,,Public,No response
2024-11-15 14:48:12,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 14:48:12,LAN,192.168.1.25,ALERT,,Public,Connection lost
2024-11-15 14:48:14,LAN,192.168.1.25,DOWN,,Public,No response after 3 attempts
2024-11-15 14:48:15,LAN,192.168.1.25,DOWN,,Public,No response after 4 attempts
2024-11-15 14:48:16,LAN,192.168.1.25,DOWN,,Public,No response after 5 attempts
2024-11-15 14:48:17,LAN,192.168.1.25,DOWN,,Public,No response after 6 attempts
2024-11-15 14:48:19,LAN,192.168.1.25,DOWN,,Public,No response after 7 attempts
2024-11-15 14:48:19,LAN,192.168.1.25,DOWN,,Public,No response after 8 attempts
2024-11-15 14:48:20,LAN,192.168.1.25,DOWN,,Public,No response after 9 attempts
2024-11-15 14:48:21,LAN,192.168.1.25,DOWN,,Public,No response after 10 attempts
2024-11-15 14:48:22,LAN,192.168.1.25,DOWN,,Public,No response after 11 attempts
