Timestamp,Event Type,IP Address,Status,Response Time (ms),Network Type,Details
2024-11-15 15:53:26,LAN,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 15:53:26,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 15:58:27,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 15:58:27,LAN,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 16:03:01,GATEWAY,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 16:03:01,LAN,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 16:03:34,GATEWAY,192.168.1.254,ALERT,,,Connection lost
2024-11-15 16:03:34,LAN,192.168.1.254,DOWN,,,No response after 3 attempts
2024-11-15 16:03:42,GATEWAY,192.168.1.254,RESTORED,1,Public,Downtime: 7s
2024-11-15 16:03:42,LAN,192.168.1.254,RESTORED,1,Public,Downtime: 7s
2024-11-15 16:04:26,LAN,192.168.1.254,UP,1,Public,Response time: 1ms
2024-11-15 16:04:26,GATEWAY,192.168.1.254,UP,5,Public,Response time: 5ms
